url,MU_dots,MU_hypens,MU_at,MU_and,MU_percentage,MU_slash,MU_star,MU_comma,MU_semicolon,MU_dollar,MU_colon,MU_question,MU_space,MU_underscore,MU_equal,MU_hash,length,having_ip,redirection,https_domain,pish_word,has_tinyURL,length_longest_word,type
tripadvisor.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,106,0
articles.elitefts.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,62,0
broadwaystars.com,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,34,1
forums.networkinfrastructure.info,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,35,0
youtube.com,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,29,0
mccall-idchamber.org,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,1
chacha.com,2,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,110,1
friars.com,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25,1
pipl.com,1,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0
spokeo.com,2,16,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,1
fanpage.gr,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,692,1
faqs.org,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,49,1
duckduckgo.com,2,2,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,37,1
worldoftanks.ru,1,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,36,0
en.wikipedia.org,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1
serverfault.com,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,0
ciajfk.com,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,1
indyweek.com,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,74,1
linkedin.com,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1
eyeappealoptometry.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0
brophygen.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
icehockey.wikia.com,1,0,0,0,18,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,0
gurufocus.com,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,126,1
stewstew.com,1,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,0
livingharvest.com,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,1
icicibank.com,11,3,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,84,0
bleacherreport.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,58,0
artfacts.net,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35,1
parsippanysoccerclub.org,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,1
international.uiowa.edu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25,0
btscene.eu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
signature-editions.com,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,1
